epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1379,0.85943,0.81964,1.13901,0.98734,0.33206,0.41934,0.34221,0.2203,0.36519,0.4091,0.37119,0.25413,1.40935,1.42781,2.05009,1.46333,0.000253086,0.000253086,0.000253086
80,1396.32,0.76454,0.89602,1.06443,0.97438,0.44221,0.37358,0.38408,0.24386,0.46223,0.39612,0.41306,0.27306,1.41402,1.54526,2.00873,1.4912,0.000242087,0.000242087,0.000242087
81,1413.31,0.79135,0.92308,1.06809,1.00493,0.5157,0.30914,0.38357,0.24271,0.52792,0.32526,0.42096,0.28858,1.40527,1.60056,1.98846,1.47009,0.000231088,0.000231088,0.000231088
82,1430.26,0.79879,0.79761,1.04447,1.01568,0.56803,0.315,0.3889,0.23355,0.56757,0.31506,0.40808,0.27165,1.3913,1.67313,2.00067,1.44775,0.000220089,0.000220089,0.000220089
83,1447.32,0.939,0.97754,1.29816,1.23017,0.62554,0.31436,0.3951,0.24829,0.62554,0.31436,0.41716,0.28369,1.39387,1.6606,2.00497,1.47774,0.00020909,0.00020909,0.00020909
84,1464.7,0.80664,0.73909,1.02656,1.03161,0.4353,0.44554,0.39143,0.2575,0.46016,0.47694,0.42251,0.29073,1.43657,1.49044,2.07245,1.42744,0.000198091,0.000198091,0.000198091
85,1481.74,1.00103,0.92319,1.28181,1.2614,0.45359,0.38809,0.3688,0.25621,0.49078,0.48654,0.43363,0.29119,1.42951,1.43043,2.05281,1.39856,0.000187092,0.000187092,0.000187092
86,1499.14,0.83059,0.94476,1.21762,1.12128,0.43965,0.40621,0.39602,0.27685,0.47114,0.47973,0.43928,0.30829,1.39498,1.37112,2.03892,1.41676,0.000176094,0.000176094,0.000176094
87,1519.19,0.72332,0.77864,0.89883,0.9833,0.44342,0.35238,0.38949,0.26615,0.44625,0.42227,0.4252,0.29791,1.39291,1.33416,2.06168,1.46214,0.000165095,0.000165095,0.000165095
88,1536.23,0.79792,0.8382,0.98159,1.09373,0.45807,0.30958,0.38574,0.27911,0.47722,0.36928,0.42645,0.3023,1.32879,1.28287,2.18917,1.36512,0.000154096,0.000154096,0.000154096
89,1553.44,0.73864,0.85263,1.00873,0.96291,0.49685,0.31977,0.38977,0.28283,0.50742,0.35529,0.42941,0.30602,1.31207,1.28454,2.19513,1.32823,0.000143097,0.000143097,0.000143097
90,1573.63,0.75246,0.75372,1.01875,1.08948,0.56797,0.31977,0.3929,0.28825,0.51265,0.36761,0.43404,0.31327,1.30308,1.28758,2.20432,1.29826,0.000132098,0.000132098,0.000132098
91,1594.48,0.81577,0.65112,1.02106,1.14082,0.42265,0.43593,0.40942,0.29787,0.57233,0.36932,0.46524,0.32225,1.29373,1.32235,2.03803,1.34524,0.000121099,0.000121099,0.000121099
92,1614.67,0.71565,0.64575,1.03574,1.00711,0.51019,0.37412,0.41112,0.29776,0.6193,0.36942,0.46618,0.31386,1.31971,1.34717,1.96023,1.38364,0.0001101,0.0001101,0.0001101
93,1632.47,0.73825,0.6303,0.97463,1.04079,0.6156,0.35432,0.42351,0.30044,0.67623,0.39231,0.47745,0.31559,1.33714,1.37166,1.99376,1.39144,9.91012e-05,9.91012e-05,9.91012e-05
94,1649.95,0.7125,0.70775,0.99934,0.96508,0.61724,0.40016,0.42942,0.30092,0.67139,0.433,0.48401,0.31833,1.35248,1.33386,2.00522,1.40503,8.81023e-05,8.81023e-05,8.81023e-05
95,1670.81,0.78349,0.70733,1.01709,1.13892,0.59138,0.39754,0.42574,0.29675,0.65011,0.43476,0.47847,0.3199,1.33824,1.31581,1.99218,1.40781,7.71034e-05,7.71034e-05,7.71034e-05
96,1687.88,0.74757,0.60607,0.91226,1.03255,0.5919,0.39324,0.42519,0.2966,0.65664,0.43121,0.46955,0.31784,1.33476,1.3049,1.96586,1.44428,6.61045e-05,6.61045e-05,6.61045e-05
97,1705.05,0.6468,0.60933,0.83921,0.96553,0.60181,0.38837,0.4172,0.29021,0.6636,0.4253,0.46019,0.30946,1.34315,1.30559,1.93207,1.45811,5.51056e-05,5.51056e-05,5.51056e-05
98,1721.98,0.72009,0.57291,0.91804,1.08423,0.57374,0.39511,0.42167,0.29471,0.66501,0.41491,0.46441,0.31585,1.34778,1.29919,1.91881,1.45888,4.41067e-05,4.41067e-05,4.41067e-05
99,1739.08,0.66478,0.55685,0.91013,1.00655,0.63792,0.37998,0.416,0.29172,0.69966,0.41863,0.46721,0.31631,1.34402,1.29641,1.89354,1.46533,3.31078e-05,3.31078e-05,3.31078e-05
100,1756.3,0.61994,0.61304,0.83924,0.94206,0.63336,0.38592,0.4273,0.29697,0.69273,0.42363,0.46893,0.32143,1.34137,1.30216,1.8641,1.46579,2.21089e-05,2.21089e-05,2.21089e-05
